author,rating,comment,date
smile shrivastav,5.0,"I visited this place while in kolkata. Had a pizza with mocktails.  Fire and ice pizza is best in their specialty. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
 ",5 months ago
Debottamaa Sarkar,5.0,"One of the oldest pizzerias in town, Fire and Ice is located in a very convenient place. It is just opposite Jeevan Deep Gate of Maidan metro. It combines bollywood nostalgia with retro italia.",4 years ago
Deepak Kumar Biswal,5.0,"This is a nice place. But if you want to try pizza. Though you will find less people over here, but you won't regret this restaurant atleast once. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",7 months ago
Aprine Musician,5.0,Best place for pizzas and other Italian food... would love to visit again Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,4 months ago
Bibhas Banik,4.0,"I had pollo pizza I didn't like much.Had 2 mocktail alveredo was not good, but I did like adam choice.",3 years ago
Jitagna Mehta,5.0,I always looked this place. Have visited here 5+times for business lunches in last 10 yrs. But first time I went with family. It was better than I ever remembered. We ordered veg platter in antipasti and a pizza with grilled vegetable toppings. Also a soup. All were simply outstanding. Ambience is very good and has an international feel. Service is also good. Overall a great experience. Expect this from a facility that charges 1000+/ person for meals.,a year ago
Soumyadev Das,5.0,Ambiance and staff behavior was good. 5/5.,a year ago
Martin Schneider,4.0,"The pizza is delicious.  The price for one pizza ( starting about Rs 600 is high ) , but it is worth it. Only the price for a beer is a bit expensive ( therefore overall only 4 out of 5 stars). If prices were less I might have given 5 out of 5. Food : 5/5   |   Service : 4/5   |   Atmosphere : 4/5 Food : 5/5   |   Service : 4/5   |   Atmosphere : 4/5 ",9 months ago
Esita Banik,5.0,Such a nice place it is. Authentic pizza. Heaven for pizza lover. And they serve alcohol as well. With good wine collection.,4 years ago
Mihir S,1.0,I ordered Al Fungi white sauce  Pasta from Fire and Ice through Zomato.  I don t know about other dishes here. It s received good ratings in many areas but this pasta was no where near authentic Italian. It tasted like milk. A taste which was repulsive. The chef doesn t know how to make white sauce pasta. And the cost? Too thigh. I have had the best of pastas at half its price.,a year ago
Rohan hore,4.0,Very nice ambience and the pizza was very tasty.(picture attached below).,3 years ago
Drishadwati Bhattacharya,2.0,Disappointing experience. Pizza was dry and the butter and sage gnochhi was very little in quantity. Drinks are watered down and the bar staff appeared to have very little knowledge of mixing drinks. Very bad service and subpar food and drinks.,8 months ago
Soumitra Bandyopadhyaya,3.0,Food was good but the service is impersonal  and not upto the mark.,5 years ago
sheetal bhanage,5.0,Hands down this place is a must try fir Italian food. Prices are little high but worth spending. You can order two different pizzas in one  Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,7 months ago
Swopnali Ghadage Kadam,5.0,"Beautiful, spacious and well maintained place. It has good ambiance. There are fusion foods available, the menu is huge. Must visit place ",7 months ago
Deepa Iyer,1.0,One of the worst pizzas I ever hard..extremely exorbitant price and unfriendly staff..better avoid this place,6 months ago
Risa Mullick,4.0,One of the best Italian in the city . Been maintaining then standards for quite sometime now. The food is worth the cost and ambiance just classic old school movie types. The service could be better lately.,a year ago
ARIJIT GANGULY,4.0,Good food but very expensive and make sure you are checking the bill..they are including separate service charge @7%..,5 years ago
Arpita Taunk,5.0,This place has very nice mocktails. They will even suggest good mocktails according to your preferences. It has cafe like vibes. Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 ,7 months ago
Anuja,5.0,"Visited this place during Christmas and must appreciate the ambience as well as the pizza. Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Recommended dishes 
 Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Recommended dishes 
 ",4 months ago
Juhi Katara,5.0,Their tiramisu is a must try and Hawaiian pizza was so good to miss. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,4 months ago
Angadraj Singh,5.0,"Easily the best pizza experience in Kolkata . It is a notch above others . The ambience and staff are polite . Nearest metro is maidan metro . Slightly overpriced , but worthy of visiting . Fresh food served and great place . Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",10 months ago
Susmita Chakraborty,5.0,"Awesome place to try mouth watering pizzas at very affordable price. Staffs are well behaved, restaurant is clean, good ambience and the taste of food is delicious. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",9 months ago
ashish jaiswal,5.0,We ordered magarita pizza from here. I liked the quantity and the quality of food here. Even the packaging was good and neat. ,7 months ago
Sparsh Nag,4.0,"Had a pleasant evening in there,, 25th December it was and with beer we chatted for about 2hour,,the staff is quite good but it's so pricey",4 years ago
Viraj Singh Bhutoria,5.0,"Well maintained Italian restaurant with a variety of pizza, rissoto, pasta, and various italian dishes, having a unique taste, especially the pizzas!!",10 months ago
navneet bhattar,4.0,"Nice place to have Italian dishes. But not a pocket friendly place. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Parking space 
Somewhat difficult to find parking

 Parking options 
Paid street parking Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Parking space 
Somewhat difficult to find parking

 Parking options 
Paid street parking ",5 months ago
Anusua Adhikary,5.0,The best and authentic Italian food in Kolkata. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,a month ago
Rukkku Rukku,5.0,"the staff is very friendly and respectful. The whole place was clean, which is a rare site to see in India, I was very happy about it. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",7 months ago
Christian Ladisa,5.0,"One of the best restaurants in kolkata, best pasta and best pizza Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",a month ago
Kaushik Meta,5.0,"Excellent ambience with really good food. But certain items like carbonara are slightly expensive but it's very good in taste. Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Recommended dishes 
Carbonara Pasta Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Recommended dishes 
Carbonara Pasta ",7 months ago
L B,5.0,"The food is very authentic, unlike thoes other place most you will have Indian style Italian food.",4 years ago
S Sana Syed,5.0,Good ambience with awesome delicious food. Definitely a place to visit with family and freinds.,7 months ago
moumita dutta,5.0,Really good Italian food. Their quality and taste is better. Also the decoration of this place is nice. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,9 months ago
Dilpreet Kaur Bedi,4.0,Loved the Bloody Mary's I had here. The Antipasto Platter Non veg was great. I visited Fire and Ice after almost 6 years and the fact that they have maintained their quality of food and service says a lot about this place. A classic indeed,a year ago
Vikash Singh,4.0,Really Nice place. The pizza here is Top Class. The Interiors very soothing. The ambience makes for a good time chatting with and friends while enjoying your food and drinks. If you love Pizza you gotta be here atleast once. ,2 years ago
Saikat Ray,5.0,"Brilliant. Have survived the rest of the time, and even at 10 is full. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",3 months ago
Rekha Jadhav,5.0,"It's a very good place to eat. Very nice service, probably suggested. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Half &Half, Pizza India, Risotto with Chicken Liver, Garlic Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Half &Half, Pizza India, Risotto with Chicken Liver, Garlic ",7 months ago
Priyankar Singha,5.0,One of my favorite restaurants in Kolkata.,4 years ago
shreyash shah,4.0,we ordered couple of vegeterian pizzas from this place and all of them were really nice. Surely would recommend. Food : 4/5   |   Service : 4/5   |   Atmosphere : 4/5 Food : 4/5   |   Service : 4/5   |   Atmosphere : 4/5 ,8 months ago
smita parekh,5.0,Good place n yum pizza  ...  ,2 years ago
Arnab Chatterjee,5.0,Had Pollo Pizza with added Becon. It was one of the most delicious pizza I had in Kolkata. Service and ambiance of the restaurant is very good. Highly recommended for pizza lovers.,a year ago
Raj Goyal,5.0,"Closets I've come to dining in Sicily, in Kolkata Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",a month ago
Rishika,5.0,Pizzas was superb in both taste and appearance. The staff were very friendly,7 months ago
Manasa Viputh,5.0,"Really good Italian food. One of the few places in the city which has manages to stay consistent with their quality and taste. Yes, it s a bit premium but the quality of their ingredients is also very good. The ambience is great and I love the  openness  of the restaurant. My all time favourite is the pollo Di picante, also love their pizzas (literally all of them), the bar is well",7 months ago
harsh Barbigahiya,5.0,"This is my first visit to this place and I am pretty impressed with this place. This place has pretty good . The seating area is big a big bar in this . You will get all kind of fusion based foods. I recommend to try their specialty pasta items. 1 pasta is good enough for 2 person. . If you are a vegetarian there is no need to be disappointed as they have vegan based foods as well. The price is  higher but you may enjoy a lot  However, the food quality is really really awesome. The cocktail section is also good and has lots of varieties. If you are going out with friends and planning for a quick bite, you must visit this place. Vegetarian options: Verious option for vegetarian Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pesto Bacon Pizza Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pesto Bacon Pizza ",8 months ago
kinjal banerjee,3.0,It's overhyped.. the pizza pie were slightly better than average but topping qty was so low it was disappointing..  a few tiny bits of pepperoni and prosciutto / cheese strewn about ...the lasagne / pasta were decent .. the chocolate mousse was nice....the only thing good was the service ..the staff was super helpful .. overall slightly better than average at best..,a year ago
Arkadev Bhattacharya,3.0,We had a ham and mushrooms pizza with mozarella cheese over there. It tasted good the crust was well prepared but over priced . They serve you very small amount of toppings . We had hardly 4 ham pieces and a few mushrooms. It costed nearly 800 with tax. Ambience is good no doubt ,a year ago
Siddharth Sethia,4.0,"Good food but extremely noisy Food : 4/5   |   Service : 4/5   |   Atmosphere : 3/5 Recommended dishes 
 Food : 4/5   |   Service : 4/5   |   Atmosphere : 3/5 Recommended dishes 
 ",4 months ago
Vikash Parmanandka,5.0,"I have been visiting this restaurant since years, may be more than 10 years now. the service and food quality is maintained. The Pizza server here is among the best in the city. best part is they are consistent. Located near a metro station, it is easily accessible, however, parking one's car could be a trouble here. The ambience is nice with not so loud music. A perfect place for dinner at Pizzeria. ",5 years ago
Piyali Ghosh,4.0,Taste was good.,9 months ago
Joy chakraborty,5.0,"I was looking for the real taste of pizza since I came back from Italy. Delighted to find the same after so long. Based on my own experience, I certify that you can find the authentic taste of Italy here. I highly recommend this place.  It is better to pay for the real one than waste the money on the fake ones, which I did while trying other places.",2 years ago
Veeral Kamalia,5.0,This place is right on top of the list when rank the best pizzas in Kolkata. The food is great and they have a bar too. BUT. I have been here twice and am extremely unhappy with the behaviour of the staff. The staff behaved as if please come eat and be on your way. The price point of the food is such the customer who walks in would expect a decent if not warm welcome  but that is blatantly missing. After all it's a luxury dining restaurant and not a ' road side eatery'. Customer centricity is a corner stone for hospitality industry. I strongly recommend that the staff be trained! I am usually a decent tipper but this place.. sigh. ,3 years ago
Debjit Saha,5.0,Very good and well maintained place...food quality is very good...and price is also reasonable... Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,7 months ago
Natasha Sharma,5.0,"Absolutely fantastic place for mind-blowing pizzas, pastas and baked delights. I go there often with friends and it's my absolute favourite. F&I offers a great variety of drinks and has an absolutely fantastic vibe! It also has a good variety in the menu for vegetarians. It is located at the heart of the city and is really convenient to reach.  Deserves nothing less than 5 stars.",6 years ago
Ritaja Chakraborty,5.0,It is a very cozy comfy and casual place. Very good for friends or family gatherings. It is also good for a warm and cozy date night with your partner. The food there is authentic and amazing. I had the best pizza ever in FAIP. You should definitely visit. Mind you one thing. It is not a very cheap place.,5 years ago
Rahul Jain,2.0,"Well, living in Kolkata for 21 years now and i realised why I haven't been to this place.. Its too authentic Italian actually. The food tastes bland and may have been good for people who love authentic stuff. When I visited i had high hopes.. But they were all dashed.",2 years ago
Samyuktha Prakash,4.0,"Servers were preoccupied with talking to each other. Excluding service, ambience and food was good.",4 years ago
Flo Yeow,4.0,"I actually quite like this place, only because it's typically very quiet and you get all the attention you need from the servers. That said, it's very much more pricey compared to other restaurants in the vicinity. It's one of the only few Italian restaurants nonetheless, so you've to give them the due credit they deserve. The oven fired pizza is really good - do try it. The pasta and risotto, on the other hand, is only average. Drinks are super pricey so do take note.",6 years ago
Pulkit Goswami,5.0,"A very different pizza from what I've been having in my hometown - Delhi. I mean 'good' different, and the Iced tea was amazing too. It has a bar and everything with liquor ranging from old monk to Glen. A little on the costly side this place is, but totally worth it. The staff is courteous as well. ",4 years ago
Sayan Banerjee,1.0,Worst pizza that I ever had in my life  Even 100 rs domino s pizza is far better than this stupidly expensive and they will add 7 percent service charge without even asking  ,a year ago
Ankita Gupta,1.0,"We ordered a funghi pizza, got a hair inside it. The server wasn t even apologetic about it. And said it happens Ma am.",9 months ago
Rajyashree Dutta,5.0,The place looks very beautiful and its not that crowded.,2 years ago
Pratip Mazumder,2.0,"Good old place but food isn't good. Waiters are not knowledgeable and doesn't help you with much idea to choose your food. In my case, they made me choose a tasteless and bland concoction of maida and potato that was simply horrible. Felt as if I paid some 500 bucks for a plate of boiled maida. Pizza is good and can be taken. P.S. This is the 7th Authentic Italian I am trying from across India, incase you think the one I mentioned was bland and it's supposed to be so. It's not that. It was bad and can't be hidden under Italian cover. The waiter boldly suggested this foolish thing. ",2 years ago
Rohit Kathotia,5.0,Always great..great food...great place and good crowd...it's such a good place to bump into old friends...it's a legend....they say there are great pizzerias and then there is Fire and Ice Vegetarian options: Enough...and quite adequate....just a few more eggless desserts would add to the variety Kid-friendliness: The kids just love everything the pizzas are perfect for them and pastas are to their Liking...they just loved the parmesan shavings they get. ,a year ago
Lakhshya Verma,1.0,"Well if you're here coz you've heard a lot about this place.. Then you will be disappointed. If you are from outside Calcutta and your friends tell you about this great place called Fire & Ice, please don't get fooled. Being with friends will be the only nice thing if you happen to come here. Average service and very average food. Below average ambience. Service is barely a 'service'. The servers can't even pronounce what they are serving let alone their hygiene. Yes, they smell horrible when they get closer to serve you. This spoiler alert you will love, trust me :) Though this restaurant is located in a very central place, parking here is a nightmare. ",4 years ago
Manish Mohta,4.0,Excellent place for Italian fare. It has great vegetarian options and also serves drinks. Dishes were fresh and nice. Pizza Spaghetti and Tiramisu were all very nice. Service is fast but not too attentive. You need to be ready as they will diisapear if you pause in mid sentence!,4 years ago
aishwarya das,5.0,Amazing place to chill. Price is on the higher side though,4 years ago
Payal Merchant Kumar,4.0,"This place has is known for its pizzas pastas and rondelle.Food is authentic Italian , service excellent and overall a good place to dine .Gets full by 8pm on weekends make sure you go to this place before time .",a year ago
Ashish Bagree,5.0,"Had a half & half pizza. With funghi and four cheese along with a couple of beers. Food is great, ambiance is good. A bit on the expensive side, but okay for an occasional outing",a year ago
Vikramjit Biswas,4.0,"I fell in love with this place the first time i visited it. The ambience was great and so was the service. However the last time i went, I was quite disappointed to see the evident change in staff behaviour and service. Its deteriorated like most other places whi fail to live up to the standard it sets for itself at the beginning. The pizza there is still very tasty, however, even the quantity of toppings has become quite sad. Tiramisu was yummy before. Now they serve in teeny-weeny quantity with the quality compromised too ",5 years ago
Saswata Kar,5.0,Liked the food. Way too crowdy. Food : 5/5   |   Service : 5/5   |   Atmosphere : 4/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 4/5 ,5 months ago
mohit vohra,5.0,Had a great time at Fire and Ice Pizzeria and the food desserts and mocktails were on point. Family enjoyed it very much so thanks. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,10 months ago
Nikita Jain,3.0,"Good Ambience, Good Food but too costly.",5 years ago
Swati Ghosh,5.0,"If you are yearning for authentic Italian Pizza, while in Calcutta, look no further. One of the closest to the pizza's and fries I had in Italy",a year ago
anindita ghosh,1.0,Horrible experience. Stale prawns in the seafood pizza & then the entire service staff ( Vikas Thappa & Mrs Aruna Rampal) stand there & argue that if we don't like the food we should not come back to the restaurant. Ofcourse by then we were extremely agitated & very angry & wanted to pay for the rest of the bill & not the stale pizza!,2 years ago
Arhan Sett,4.0,"Though slightly on the pricey side, the food here is excellent and the wait staff are cordial and friendly, for the most part. The restaurant does have some weird quirks about their condiments; they refused to serve my friend parmesan shavings to garnish his non-vegetarian antipasti because it was ""an expensive product"". They did, however, say that it was included with the vegetarian antipasti. A strange occurrence, and perhaps one to consider if you're thinking of visiting. However, this did not detract from the quality of the food. ",5 years ago
Debayan Aich,2.0,"Pizza prices are ok, same can't be said about the drinks which are having a price of 115 for a coke worth 12 bucks, which just seems unresonable. The pizza was good but crust is very very thin, just for taste and not recommended if hungry. ",2 years ago
Husrav Turdiev,3.0,"Pizza tasted for my surprise amazing, premises was in fact large and spacious. I am sure for that local area price may be a bit high since all the taxes and other added amounts do almost double the price of food. Obviously there are always improvement opportunities...",3 years ago
Dnyaneshwar Harale,5.0,"A pleasing ambience, delicious food and soothing Italian music playing in the background best describe Fire and Ice Pizzeria. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",7 months ago
Samya Subhro Roy,5.0,Pizza was Awesome. Ambience and service was great.,2 years ago
Bharadwaj Korni,5.0,Friday night during Deepavali weekend. Was crowded but we managed to sneak in and find a place. Heavenly pizzas. Prompt service. The place has an old world charm to it.,a year ago
Jitendra Sahoo,5.0,Very neat and clean please to dine-in with positive ambiance and nice service.,7 months ago
A Goel,1.0,"Atrocious service attitude. They focus only on groups and tables that have female guests. No attention on customers calling. Of course you are free to go to the counter and ask for attention yourself. They have lengthy explanations for food not tasting the way it should, Pasta arrabiata reeks of something sour. Lasagna tasted stale, with some pieces burnt! Portions are very small. Very low value for money. And this Italian food restaurant has no beer. Only expensive whiskies and wines. ",5 years ago
Nikita Saraf Vaid,5.0,This is a classic place in town for Italian cuisine.. Simply love the food and ambience. Amazing service and food.. a must must visit if you are looking for authentic Italian food in kolkata..!!,a year ago
Matt Timoney,2.0,"Very expensive for what is just pizza.  Not bad pizza but not special either.  When you can get awesome steaks and burgers at much better establishments in Kolkata, for much less than a pizza here, it just isn't worth a visit.  Even an average sized bottle of water is 130 rupees which is almost 3 times the price at most other restaurants in the area.  The beer is ridiculously pricey.  If you want to pay through the nose for an average meal and drinks, then this is the place to come.  Check your bill as well, because, as usual, in this city, they will try to overcharge.  We were billed 780 for a pizza that on the menu was advertised at 680.",3 years ago
NIRMALA B,5.0,"Good place and good pizzas, nice taste and reasonable price.",7 months ago
venky dara,4.0,Best Italian food and awesome mocktails loved to visit again Food : 4/5   |   Service : 5/5   |   Atmosphere : 4/5 Food : 4/5   |   Service : 5/5   |   Atmosphere : 4/5 ,7 months ago
Aniruddha Bhattacharya,3.0,Again the 1 star is being deducted because you'll find the drinks and food slightly overpriced. They are one of the older pizzerias but need to work on a) their price of beverages and food b) the quality of dough on the pizza and c) there marinara sauce for the pizza. Have slightly deviated from their main Italian charm and have tried to tap into other cuisines.,2 years ago
Chirag Jain,4.0,"Food is good and the service is fast. I also like that they don't blast loud music like most other ""nice"" restaurants. My only thought is that it is a bit dark and their furniture is getting a bit old. The place is probably getting close to needing a facelift.",4 years ago
Shanu Poddar,4.0,We had pizza it was good would come again to try other things. I would recommend go with a group to enjoy other stuff too apart from pizza.,a year ago
Anil Sai,5.0,It surely must visited place one who loves italian food tasty food,7 months ago
MIR HAMEED ALI,5.0,The pizza taste is very good. Should try once,7 months ago
shovik mukherjee,5.0,Beautiful spacious and most beautiful place for pizza and other stuff.. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,7 months ago
Sanjay Paul,3.0,Good place for authentic Italian Pizza. Good for time  timepas. Only problem is food cost. Food : 4/5   |   Service : 4/5   |   Atmosphere : 5/5 Food : 4/5   |   Service : 4/5   |   Atmosphere : 5/5 ,11 months ago
RRD,5.0,"Great place, awesome food. Will visit again.",7 months ago
Vaishnavi Palem,5.0,The pizza is awesome over here and the ambience is great  Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,7 months ago
Hindol Chakravorty,4.0,"Nice place to be if you like pizza, panini, bruchetta.......",5 years ago
Leela Banerjee,3.0,"To be honest.. I came in with a lot of expectations and boy did they come crashing down. Well to start with the positives.. The ambience is lovely, the have a fiar selection of wines and food and good music selection. The cons comes to service.. Primarily.. The water glasses smell of egg..not properly washed.. We ordered a penne  ""la saporita"", and we got a spaghetti.. On informing the head clerk about the confusion.. He reluctantly changed it. 3rd strike were the cocktails.. We ordered strawberry margheritas.. And one of which was bland on requesting to sweeten it.. The server said he would get us some sugar on the table. By then the ""right order"" came.. A hastily tossed penne without the side bread servings. On enquiry about the bread we were informed that the kitchen must have forgotten.. And we should have asked or reminded.. I honestly think f&i might be a good place but for it to be great.. The service could be a great deal better. Best wishes to it",4 years ago
Anil Kumar,2.0,Visited today again after long time. We used to visit here frequently. Prices gone up like crazy. Spirits also very expensive. Foccasia did not taste like before also was hard to chew. Service too ofcourse went down while restaurant feel proud to apply service charge of 7%. Tables placed too close and feels over crowded. ,4 years ago
Shalley Mohta,5.0,"This place is a little on the expensive side, but well worth it. They have a dish(whose name I do not remember and nor is it on the menu) which you can ask for by calling it 'potato chips/crisps'. They are literally the best different kind of potato chips I have eaten in a loooong time. We also ordered the grilled veg skewers and the mista salad. The salad was very refreshing, especially with the addition of feta. In mains, we ordered the asparagus risotto and the verdure pizza. Risotto was really bland and more like 'doodh bhaat' but the pizza made up for it. All in all, great food. P.S. we had heard the LIIT here is to die for, we ordered one, but didnt really think it was that great. ",2 years ago
Henry Chung,5.0,"My daughter loved this place ever since she was 2. Every chance we get, we eat here. She loved the pasta and I have their pizza. Fire of Bengal pizza is a must try.",3 years ago
Rahul Dhankani,4.0,"Probably the best pizza in the city, but there's still room for improvement. The pizza prices are alright, but extra toppings are unreasonably priced. Also it'll be nice if they had more variety in their wine selection.",5 years ago
gunti ramu,5.0,Very gud ....iam very happy Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,4 months ago
siddhant singhania,1.0,The food here is average at best and the service is abysmal. I had ordered a bloody Mary and the tomato juice tasted a little off. I had taken only one sip and the I requested them to change it. They took the drink and brought the same drink back without changing it. They just added a little more alcohol to it. When I asked them to change the drink they said that it was not in their policy. This is absolutely unacceptable that they don't correct their own mistakes,6 years ago
Tanimesh Ghosh,1.0,"Iam an old customer of the cafe..but after covid things have changed drastically..although food was ok,the taste the quality and quantity have decresed..they have incresed the price and have added extra cost for almost every,except the oxygen you breathe there..dont know with the present scenario when oxygen cylinders are in a huge crisis all over India,they may charge for that soon.. but what hit me the most is the behaviour of the staff..alot of new staffs..starting from the cooks to the waitors and security..and their attutude have detoriated like hell..so decided no more Fire and Ice...there are alot of options nowadys..cant pay and have bad quality food and attitude..Sorry..  ",2 years ago
Anbu Raj,4.0,It's Amazing pizza customer feedback valuable on the restaurant,7 months ago
Mitrava Banerjee,5.0,"good pizza, there are a few fusion pizzas. fishsoup wash amazing. lovely cocktails. should try their chocolate mousse. this restaurant  can accommodate groups as big as of ten people. five stars.",5 years ago
Aditta Kumar,5.0,Delicious and healthy pizza enjoyed and had good time,7 months ago
Jillian elias,1.0,"Pancake  with ham & cheese was very nice,  But the Hawaiian Pizza took all the Tastes away ....It was like a toasted NAN , VERY DRY.....not much toppings , one could not taste the Mozzarella cheese, nor the Tomato sauce.  OFCOURSE THE HAM, PEPPERONI (EXTRA)  Seemed like it was thrown from Heaven,  Very Dissapointing.   Sad to see that the standard at Fire  & Ice Pizzeria  has fallen Terribly,   .......   DOMINOS Makes a better pepperoni pizza",2 years ago
Nirban Basu,3.0,"To crowded , too noisy , sevice a tad too slow, pizzas not special enough. I mean the pizzas are good enough but not brilliant. That coupled with the other factors make me recommend it for only one outing.",2 years ago
Tanmay Bagri,5.0,They serve a  proper brick oven pizza with lots of choices desserts and starters. The ambiance is also really good. Must go! ,2 years ago
Rathindra Nath Dutta,5.0,A must visit place for pizza lovers,4 years ago
Somjit Bhowmick,4.0,"Nice, chilled out ambiance. Good pizzas. Nothing outstanding, but good. Cocktails are a must try. They have a great collection of drinks. ",2 years ago
Bonny Sheth,4.0,"The place has great ambiance,  really nice food , although little pricey , but gives good feels.",a year ago
Dexter,5.0,"Have been visiting this place since 2013 and it has been just the same through all these years. Authentic Italian cuisine is what you will find here. Patata fritte and lasagne are a must try starter and main course option respectively. 10/10 for food 8/10 for ambience 7/10 for service. Do visit this place if visiting the City of Joy, Kolkata. ",4 years ago
Pol PT,3.0,"Very very tasty but be careful two out of nine people got digestive problems after eating there. I am still struggling after one  week. They may have used unfresh food kept in the fridge. Please, Fire and Ice take it into account. I may go back anyway, pizza is great.",5 years ago
Lita Bag,3.0,Te place is located opposite to Elliot Park and it's a tad bit over priced. Some cocktails are absolute good but food is okay.,a year ago
Pousali Palui,3.0,"Easily accessible by Maidan Metro station, this place serves authentic and lips smacking pizza along with other remarkable dishes like Bollognese Pasta. They serve selected alcohol. But too much hyped n over priced.",5 years ago
Prithvi Sen,4.0,"Ambience is amazing, the food is good. Staff and chefs are great. A bit expensive, but it's ok. Location is centralised, so no problems in finding public transportation even at night. Metro n bus routes are next to the restaurant. ",6 years ago
Brent,5.0,"Amazing Food and ambience. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pollo Pizza Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pollo Pizza ",3 weeks ago
Samantak Das,4.0,"The quality has suffered slightly, thanks to the pandemic, but the staff is as helpful as ever. Well worth a visit. But remember, they close by 10:00 pm now, so don't delay your visit beyond 9:20 in the evening.",2 years ago
Shashank Saroff,5.0,"The food, ambience and their service are a perfect match. Great place to visit if you like authentic Italian cuisine. We enjoyed the Funghi Pizza and a portion of Arrabbiata - definitely recommended!",3 years ago
Dhritiman Nandi,5.0,Very beautifully decorated. Food is great. Only thing is serving time is little longer than similar places.,a year ago
Ajinkya,5.0,This is great place with one of the best pizzas in the city.,7 months ago
Bratati Datta,4.0,"good food, great ambience, lovely service. people are great. 4 star because even after prior incidents, they still charged service tax with gst. though theuly didn't argue, promptly changed it upon being informed.",5 years ago
Shivani Thapa,5.0,Nice and cosy... good place to catch up with friends...LIT seems to be the choice of drink here...sauted mushrooms were yummy ...and they use olive oil instead of butter even for the breads.... so a few choices for vegans here... ,2 years ago
Sumedha Sarkar,5.0,"Quality of food is great. Variety is limited. Ambience is amazing. Authentic Italian cuisine. Focussed menu. Peaceful locality , and great ambience",2 years ago
Sebastian Sorbac,5.0,"By far the best pizza I've had in India. Thin crust and good quality ham.  Big up to the owner for keeping the pizza as authentic as possible, even miles away from Italy.",5 years ago
Aditya Hans,1.0,A great joint...loved it for years...every bit of it...know the staff by name or by face...but recently an old lady has been around the counter who is throwing her weight around and not polite...her staff is more polite and do oblige to request...I wish she is not around the next time I am there,2 years ago
