author,rating,comment,date,sentiment
A Goel,1.0,atrocious service attitude focus group table female guest attention customer calling course free go counter ask attention lengthy explanation food tasting way pasta arrabiata reek something sour lasagna tasted stale piece burnt portion small low value money italian food restaurant beer expensive whisky wine,5 years ago,positive
Nikita Saraf Vaid,5.0,classic place town italian cuisine simply love food ambience amazing service food must must visit looking authentic italian food kolkata,a year ago,positive
Matt Timoney,2.0,expensive pizza bad pizza special either get awesome steak burger much better establishment kolkata much le pizza worth visit even average sized bottle water rupee almost time price restaurant area beer ridiculously pricey want pay nose average meal drink place come check bill well usual city try overcharge billed pizza menu advertised,3 years ago,positive
NIRMALA B,5.0,good place good pizza nice taste reasonable price,7 months ago,positive
venky dara,4.0,best italian food awesome mocktails loved visit food service atmosphere food service atmosphere,7 months ago,positive
Aniruddha Bhattacharya,3.0,star deducted find drink food slightly overpriced one older pizzeria need work price beverage food b quality dough pizza c marinara sauce pizza slightly deviated main italian charm tried tap cuisine,2 years ago,positive
Chirag Jain,4.0,food good service fast also like blast loud music like nice restaurant thought bit dark furniture getting bit old place probably getting close needing facelift,4 years ago,positive
Shanu Poddar,4.0,pizza good would come try thing would recommend go group enjoy stuff apart pizza,a year ago,positive
Anil Sai,5.0,surely must visited place one love italian food tasty food,7 months ago,positive
MIR HAMEED ALI,5.0,pizza taste good try,7 months ago,positive
shovik mukherjee,5.0,beautiful spacious beautiful place pizza stuff food service atmosphere food service atmosphere,7 months ago,positive
Sanjay Paul,3.0,good place authentic italian pizza good time timepas problem food cost food service atmosphere food service atmosphere,11 months ago,positive
RRD,5.0,great place awesome food visit,7 months ago,positive
Vaishnavi Palem,5.0,pizza awesome ambience great food service atmosphere food service atmosphere,7 months ago,positive
Hindol Chakravorty,4.0,nice place like pizza panini bruchetta,5 years ago,positive
Leela Banerjee,3.0,honest came lot expectation boy come crashing well start positive ambience lovely fiar selection wine food good music selection con come service primarily water glass smell egg properly washed ordered penne la saporita got spaghetti informing head clerk confusion reluctantly changed strike cocktail ordered strawberry margheritas one bland requesting sweeten server said would get u sugar table right order came hastily tossed penne without side bread serving enquiry bread informed kitchen must forgotten asked reminded honestly think f might good place great service could great deal better best wish,4 years ago,positive
Anil Kumar,2.0,visited today long time used visit frequently price gone like crazy spirit also expensive foccasia taste like also hard chew service ofcourse went restaurant feel proud apply service charge table placed close feel crowded,4 years ago,positive
Shalley Mohta,5.0,place little expensive side well worth dish whose name remember menu ask calling literally best different kind potato chip eaten loooong time also ordered grilled veg skewer mista salad salad refreshing especially addition feta main ordered asparagus risotto verdure pizza risotto really bland like bhaat pizza made great food heard liit die ordered one didnt really think great,2 years ago,positive
Henry Chung,5.0,daughter loved place ever since every chance get eat loved pasta pizza fire bengal pizza must try,3 years ago,positive
Rahul Dhankani,4.0,probably best pizza city still room improvement pizza price alright extra topping unreasonably priced also nice variety wine selection,5 years ago,positive
gunti ramu,5.0,gud iam happy food service atmosphere food service atmosphere,4 months ago,positive
siddhant singhania,1.0,food average best service abysmal ordered bloody mary tomato juice tasted little taken one sip requested change took drink brought drink back without changing added little alcohol asked change drink said policy absolutely unacceptable correct mistake,6 years ago,negative
Tanimesh Ghosh,1.0,iam old customer cafe covid thing changed drastically although food ok taste quality quantity decresed incresed price added extra cost almost every except oxygen breathe dont know present scenario oxygen cylinder huge crisis india may charge soon hit behaviour staff alot new staff starting cook waitors security attutude detoriated like hell decided fire ice alot option nowadys cant pay bad quality food attitude sorry,2 years ago,negative
Anbu Raj,4.0,amazing pizza customer feedback valuable restaurant,7 months ago,positive
Mitrava Banerjee,5.0,good pizza fusion pizza fishsoup wash amazing lovely cocktail try chocolate mousse restaurant accommodate group big ten people five star,5 years ago,positive
Aditta Kumar,5.0,delicious healthy pizza enjoyed good time,7 months ago,positive
Jillian elias,1.0,pancake ham cheese nice hawaiian pizza took taste away like toasted nan dry much topping one could taste mozzarella cheese tomato sauce ofcourse ham pepperoni extra seemed like thrown heaven dissapointing sad see standard fire ice pizzeria fallen terribly domino make better pepperoni pizza,2 years ago,positive
Nirban Basu,3.0,crowded noisy sevice tad slow pizza special enough mean pizza good enough brilliant coupled factor make recommend one outing,2 years ago,positive
Tanmay Bagri,5.0,serve proper brick oven pizza lot choice dessert starter ambiance also really good must go,2 years ago,positive
Rathindra Nath Dutta,5.0,must visit place pizza lover,4 years ago,positive
Somjit Bhowmick,4.0,nice chilled ambiance good pizza nothing outstanding good cocktail must try great collection drink,2 years ago,positive
Bonny Sheth,4.0,place great ambiance really nice food although little pricey give good feel,a year ago,positive
Dexter,5.0,visiting place since year authentic italian cuisine find patata fritte lasagne must try starter main course option respectively food ambience service visit place visiting city joy kolkata,4 years ago,positive
Pol PT,3.0,tasty careful two nine people got digestive problem eating still struggling one week may used unfresh food kept fridge please fire ice take account may go back anyway pizza great,5 years ago,neutral
Lita Bag,3.0,te place located opposite elliot park tad bit priced cocktail absolute good food okay,a year ago,positive
Pousali Palui,3.0,easily accessible maidan metro station place serf authentic lip smacking pizza along remarkable dish like bollognese pasta serve selected alcohol much hyped n priced,5 years ago,positive
Prithvi Sen,4.0,ambience amazing food good staff chef great bit expensive ok location centralised problem finding public transportation even night metro n bus route next restaurant,6 years ago,positive
Brent,5.0,amazing food ambience food service atmosphere recommended dish pollo pizza food service atmosphere recommended dish pollo pizza,3 weeks ago,positive
Samantak Das,4.0,quality suffered slightly thanks pandemic staff helpful ever well worth visit remember close pm delay visit beyond evening,2 years ago,positive
Shashank Saroff,5.0,food ambience service perfect match great place visit like authentic italian cuisine enjoyed funghi pizza portion arrabbiata definitely recommended,3 years ago,positive
Dhritiman Nandi,5.0,beautifully decorated food great thing serving time little longer similar place,a year ago,positive
Ajinkya,5.0,great place one best pizza city,7 months ago,positive
Bratati Datta,4.0,good food great ambience lovely service people great star even prior incident still charged service tax gst though theuly argue promptly changed upon informed,5 years ago,positive
Shivani Thapa,5.0,nice cosy good place catch friend lit seems choice drink sauted mushroom yummy use olive oil instead butter even bread choice vegan,2 years ago,positive
Sumedha Sarkar,5.0,quality food great variety limited ambience amazing authentic italian cuisine focussed menu peaceful locality great ambience,2 years ago,positive
Sebastian Sorbac,5.0,far best pizza india thin crust good quality ham big owner keeping pizza authentic possible even mile away italy,5 years ago,positive
Aditya Hans,1.0,great joint loved year every bit know staff name face recently old lady around counter throwing weight around polite staff polite oblige request wish around next time,2 years ago,positive
Sreearjya Ghosh,5.0,want authentic italian food right place fire ice easy locate near maidan metro station also one best place pizza kolkata first visit absolutely thrilled decor food everything really good place popular woodfire pizza people quiet courteous ambience soothing extremely satisfied experience,6 years ago,positive
Arjab Basu,4.0,good almost decade ago happy note maintained standard pizza crisp light ever please keep good work,5 years ago,positive
TheDingo Noob,5.0,best pizza india seriously best place pizza india even kidding la regina margherita two best pizza served aglio oglio must lot parmesan cheese,a year ago,positive
Sweta Dash,3.0,taste bland fan pizza u experiment bud different topping ambience good price worth taste,5 years ago,positive
Nathan & Danica Reid,4.0,tasty pizza flavoured oil table spice add clean great ambience seemed proportionately expensive mother branch kathmandu,5 years ago,positive
Chetan Bahl,5.0,still amazing year ago excellent food nice ambience decent service open franchisee ahmedabad,a year ago,positive
Arkaprava Mridha,5.0,loved awesome interior nice staff pizza offered large variety choice topping apps substantial good place pizza afficionados,4 years ago,positive
Piyush Servaia,5.0,best place kolkata italian food must try list long pen like italian food must visit restaurant price higher side portion quality service ambience etc make must try original pizas,5 years ago,positive
Rohit Sharma,3.0,heard lot pizza tbh good maybe ordered wrong pizza really sure base soggy like pizza dripped ordered pepperoni pizza well usual went chai break elgin best pizza,2 years ago,positive
Rewant Lokesh,4.0,best italian food calcutta also costliest pasta pizza delectable place friendly old school vibe open view bar brick oven kitchen thing feel left calzones,4 years ago,positive
carrie mathison,5.0,proper italian place heart kolkata pocket pinch might bit high quality food definitely world class tried spaghetti dish flavoured olive oil coriander chilli tomato bread side whose texture absolutely delicious experience,2 years ago,positive
pallavi pallavi,3.0,kid went looong time fire ice honestly service pathetic starter ordered available asked want alternative finishing one asked desert need anything else like could wait get rid u better order home delivery,4 years ago,positive
Debashis Patro,1.0,like ordered best pasta came upto mark cold taste normal price worth overall one star cheer,7 years ago,positive
Monica Shah,5.0,place best pizza city warm ambience price little higher end worth located adjacent maidan metro station must visit,3 years ago,positive
Ibrat Jahan,3.0,fire ice pizzeria serf authentic pizza told friend surely serve best pizza taste something different cheesey somehow expectation place ended disappointment ordered pizza virgin mojito pizza average taste thin layer cheese top burnt edge virgin mojito fine food ambience parking nightmare honest service average pretty slow precise,4 years ago,positive
MADHU YADLA,5.0,nice place eat tasty food nice ambition food service atmosphere food service atmosphere,7 months ago,positive
Sayan kar,5.0,one best italian restaurant india would recommend carbonara pasta margherita pizza use premium brand mix cocktail,2 years ago,positive
Mrinmay Dutta,4.0,quality food good indian continental italian food served restaurant located park street well connected part tge city bus taxi metro price little high,6 years ago,positive
Abadhya Jhunjhunwala,5.0,one best italian restaurant kolkata minestrone soup good antipasti platter focaccia without cheese rondelle potato crisp worth trying starter section best pesto pasta arabiatta city according fond mushroom try funghi pizza margarita pepperoni delicious well lot variety pizza well chocolate mousse one best anywhere world super light well nutella crepe apple pie tasty also,3 years ago,positive
Sourav Goswami,5.0,welcoming staff good food,a year ago,positive
K. Dasaratharaman,5.0,authentic tasty italian food cafe setting ok service prepared pay place atmosphere evening buzzy busy went birthday lunch,3 years ago,positive
suraj yadav,5.0,nice awesome place ice cream chill food service atmosphere food service atmosphere,7 months ago,positive
Pinheiro Jacob,4.0,real good ambience great pizza accompanyments food service atmosphere food service atmosphere,7 months ago,positive
raghuchandra hebbar,4.0,great place dine delicious enjoyed lunch service bit late wait longer last order waiter forgot order,4 years ago,positive
Kajari Bhattacharya,4.0,feast great pizza pasta centrally located bistro drink kind menu reasonably priced even get one pizza two different kind chef simply make two pizza kind half thin crust lovely peperoni pizza hawaiian pizza family favourite delicious mocktails offer well teetotaller enjoy,5 years ago,positive
Shailesh Minni,5.0,hi nice experience need good environment indulge keep improving vegetarian option keep option menu food service atmosphere recommended dish pollo pizza food service atmosphere recommended dish pollo pizza,9 months ago,positive
Sheetal Banchhor,4.0,ambience went sunday people family get beverage pizza menu wide offer pizza different pizza hut place visited tasted fine,3 years ago,positive
Smtrds Sm,5.0,fun good music good ambience moreover helpful food service atmosphere food service atmosphere,7 months ago,positive
Abhidipta Kaviraj,5.0,wonderful place hangout try dessert amazing,5 years ago,positive
Rajeshwari Dasgupta,3.0,food really good quite authentic reason problem cutlery seem single spoon restaurant asked one got ladle response fundamentally ridiculous,4 years ago,negative
Shilpi Chauhan,1.0,food horrible bad experience food service atmosphere food service atmosphere,2 months ago,negative
R Tantia,4.0,addition valet parking add value food service atmosphere food service atmosphere,5 months ago,positive
pooja sonkar,4.0,fire ice used top pick wanted relish italian food half n half pepperoni pollo pepperoni tasty focaccia melted mozzarella cheese soft cheesy best part ambience still good last visit year ago,5 years ago,positive
gargi mandal,4.0,overpriced quantity provide otherwise good,4 years ago,positive
Vishrut Poddar,5.0,one place city survived decade also remained top game throughout fire n ice calcuttans scream comfort food easily top list looking italian food starting appetiser platter way mousse nutella crepe end food amazing first timer would suggest starting rondelle crisp appetiser platter followed famous penne arrabbiata like spicy food penne pesto amongst pizza choose long list available arguably best pizza town dessert truly spoilt choice nutella crepe top list followed closely chocolate mousse apple pie course scoop delicious vanilla fire n ice one place go wrong also forget couple glass delicious homemade lemon,3 years ago,positive
Satyaki Sanyal,4.0,ordered meat lasagne jan decent crust overcooked felt could used better quality cheese,2 years ago,positive
Harshavardhan Agarwal,3.0,aw man love place last visit pasta alfredo average sauce better alfredo,a year ago,positive
Gaurav Gupta,5.0,nice pizza place centre city tastiest wood burn pizza italian option panini awesome definitely must visit italian cuisine lover,4 years ago,positive
Ashwini Wani,5.0,great spot try great pizza good price food service atmosphere food service atmosphere,7 months ago,positive
Ashwani Jaiswal,4.0,nice italian food best part ambience take back era experience taste nostalgia,4 years ago,positive
Aditya Chirimar (Singtom),1.0,would give star coming year heard weirdest line today get pesto pasta loaded veggie steward serve veggie pasta pasta every month last year steward possible serve veggie pasta,4 years ago,negative
Ritu Gupta,5.0,loved salad pizza overrated decor good recommended sure one love wine nd dine,2 years ago,positive
Gayana S G,5.0,cocktail drink good excellent service food service atmosphere food service atmosphere,7 months ago,positive
divya modi,2.0,quality really gone food use great recent experience last week complete disappointment,a year ago,positive
Debmalya Das,2.0,u r drinker good place food quality good nd price high,2 years ago,positive
Varun Agarwal,5.0,great authentic italian cuisine lot option different type course totally worth,2 years ago,positive
Dipak Pandey,5.0,nice place visit one best quality food food price high fare well quality ambience,2 years ago,positive
Paramjit Gupta,5.0,great italian food ambience good service excellent,a year ago,positive
HAMED 777,5.0,superb excellent work interior liked part,7 months ago,positive
Prithviraj Chowdhury,4.0,service good staff courteous helpful food good although overpriced opinion highly recommend cheese pizza bolognese,4 years ago,positive
Ravi Reddy (RaviTeja Reddy),5.0,best place visit excellent food food service atmosphere recommended dish pesto bacon pizza pollo pizza pizza india parking option free parking lot paid parking lot free street parking paid street parking valet free parking garage food service atmosphere recommended dish pesto bacon pizza pollo pizza pizza india parking option free parking lot paid parking lot free street parking paid street parking valet free parking garage,5 months ago,positive
Sarbani Chatterjee,5.0,seating arrangement nice spacious place serf authentic italian food offer peaceful ambience amidst crowded road,6 years ago,positive
amatya agarwal,4.0,beautiful pizzeria park street area hawaiian pizza garlic bread really good bit pricey quality food high service slight let otherwise good experience,5 years ago,positive
Bhumi Chaudhary,4.0,apart main must try dessert apple pie,4 years ago,neutral
appi appu,5.0,great experience good food food service atmosphere food service atmosphere,4 months ago,positive
soumyajyoti banerjee,4.0,might best pizza town country gimlet really nice ambience good tiramasu really nice,2 years ago,positive
Naresh Shahani,3.0,food average edible per standard mumbai apparently local call pizza best calcutta,2 years ago,positive
DIBAS GHOSH,1.0,taste food worst cooked properly fresh food price also high ambience quite good good place hangout,3 years ago,positive
Anand Singhania,4.0,good food going decade however find little expensive,a year ago,positive
Chefiature,5.0,loved place absolutely pasta pizza good,a year ago,positive
Kudrat Gill,5.0,fav place italian food kolkata garlic bread cheese amazing highly recommend pizza delicious,4 years ago,positive
Lucky K,5.0,child like much food service atmosphere food service atmosphere,4 months ago,positive
Prakash Thankachan,4.0,mushroom pizza good experience,4 years ago,positive
Shyama Ashish,5.0,awesome food ambience polite helpful staff authentic italian cuisine experienced first hand,4 years ago,positive
Mathures Paul,5.0,yes costly side food authentic pizza outstanding service great place menu enough child,6 years ago,positive
Saibal Dasgupta,5.0,good place drink expensive food tasty serving size big,a year ago,positive
SHUBHAM SINHA,5.0,one awesome place visit recommend everyone food service atmosphere food service atmosphere,7 months ago,positive
Susmita Chakrabarthy,5.0,love italian cuisine place wonderful great ambience service exquisite favorite haunt,3 years ago,positive
Dhruv Majumdar,3.0,never really saw great buzz place pizza ok rest food probably pretty good one time another option,7 years ago,positive
Benjamin W,4.0,fancy restaurant pleasant atmosphere pizza delicious would nice imported beer instead domestic,6 years ago,positive
sapp bj,5.0,best italian bistro kolkata traditional posh authentic yes bit expensive food ace quality good quantity,5 years ago,positive
Rittik Bhattacharjee,3.0,service awesome quality food perfect though like taste yaah want geniune taste visit place,4 years ago,positive
Sourjo Mukherjee,4.0,spacious restaurant premium location food good way pricey offered feel like mostly bask glory older day,6 years ago,positive
Somil Vakharia,5.0,awesome food great ambiance wish vegetarian dessert option apple pie cut,5 years ago,positive
Arghya Neogi,4.0,good courteous staff nice ambience bit overpriced wo worry price park street right try pizza garlic bread,5 years ago,positive
Chaitanya Gade,4.0,test delicious awesome well decorat vibe,7 months ago,positive
nancy arvind,4.0,italian food soo good good taste food service atmosphere food service atmosphere,7 months ago,positive
nikhil agarwala,1.0,given two attempt failed miserably service best spoken got far better option city,a year ago,positive
Jigme Yeshi,5.0,wonderful pizza lasagna ambience superb long island ice tea superb accompaniment,2 years ago,positive
akshay kothari,3.0,ambience good pizza good expectation higher liquor collection also good one time visit place,3 years ago,positive
Attrayee Dey,4.0,great ambience pure italian cuisine variety booze available open kitchen costly,2 years ago,positive
Revanth A,1.0,pizza taste great went high expectation got disappointed quality taste doent match price,a year ago,positive
Pawan Bawri,5.0,great place presto calcutta north east better place great bite got chance meet md courteous gentle,9 years ago,positive
Sagnik Dawn,4.0,place nice good family dine price actually good dish price might little high quality imperial,4 years ago,positive
Asoka Ghose,5.0,love eating food excellent dessert,a year ago,positive
Sudip Bose,5.0,place offer great ambience good experience food service atmosphere food service atmosphere,9 months ago,positive
Sneha Mukherjee,4.0,awestruck experience dim light make ur dinner romantic usual one staff r good u get good bar dere also,5 years ago,positive
Vandana Jhawar,5.0,favourite food service atmosphere recommended dish focaccia rondelle di potate fritte pizza india pesto food service atmosphere recommended dish focaccia rondelle di potate fritte pizza india pesto,3 months ago,positive
Rudrapratap Choudhary,5.0,food service good mark food service atmosphere food service atmosphere,7 months ago,positive
Ayan Adak,4.0,loved place awesome pizza think get better service beautiful woman,6 years ago,positive
Rijo Abraham,5.0,food great drink tasty authentic italian food give ambiance music crowd also fantastic,6 years ago,positive
Sahab Hussain (Danish),5.0,really one best place eat visited love kfc monkey bar nafeels,2 years ago,positive
Aniket Mehrotra,4.0,good atmosphere amazing italian food little expensive side service good ambience perfect enjoying good meal,7 years ago,positive
Rajat Chakraborty,4.0,place perfect looking authentic best italian pizza pasta lasagne ingredient italy avoid compromise taste,5 years ago,positive
sourav saha,5.0,nice cosy place food soo tasty large variety drink,4 years ago,positive
MD Aasim Ansari,5.0,good service food service atmosphere food service atmosphere,4 months ago,positive
Aniruddha Banerjee,4.0,pizza hot classic hand tossed go great beer quick finish ac would make leather,5 years ago,positive
Shapna Sundar,5.0,unique taste yummyy food service atmosphere food service atmosphere,5 months ago,neutral
Sumeet Fatehpuria,2.0,bill system apply service charge addition gst asked remove service charge remove good fooding matching taste bud n expensive,4 years ago,positive
Aryaman Banerjee,2.0,overpriced quality food served anymore,a year ago,neutral
P Kumar,5.0,fabulous food nice decor polite efficient staff,a year ago,positive
Gaurav Upadhaya,3.0,average food good ambience good cocktail food little priced offer,3 years ago,positive
Kushal Patel,3.0,one first italian joint open kolkata good improve immensely try one judge,5 years ago,positive
Sanjay Laddha,4.0,pizza world though higher ambience good great step away maidan metro station gate,7 years ago,positive
Jay Poddar,4.0,great pizza dish though tad expansive watch price average cost two approx,5 years ago,positive
shilpi tamby,4.0,pizza awesome n service good u oder pack pizza one problem carry beg,2 years ago,positive
Valentin CARVALHINHO ISENTO,3.0,good concept however far expensive especially salad quantity also include service tax without warning,5 years ago,positive
Mamatha Rohit,4.0,good place hangout attractive ambience,7 months ago,positive
PaViThRaMuRuGaN,5.0,good spend time friend nice ambience food service atmosphere food service atmosphere,7 months ago,positive
Kartiki Mahesheka,5.0,food beautiful served lovely manner staff good cooperative,4 years ago,positive
Sayantan Debnath,1.0,worst thing eaten ordered best seller mozzarella pizza like nothing bread high hell price delivery guy late delivered totally cold pizza never another thing guy,5 years ago,positive
Chaya Mc,4.0,budget friendly good taste,7 months ago,positive
Chandan Ray,5.0,lemon sugar crepe must,5 months ago,neutral
KATEKAR DAYANAND,5.0,good food enjoyed lot place,7 months ago,positive
Soumojit Basu,5.0,going place close decade quality unquestionably best calcutta like pizza place,4 years ago,positive
Prajyoth hoysala tv,5.0,beautiful specicious vary well maintained,7 months ago,positive
joseph antony,4.0,good taste better quality food,7 months ago,positive
Payal Mehta,5.0,best pizza ambience courteous staff mouthwatering potato fritte pizza desert also good,5 years ago,positive
Jayeeta Lodh,4.0,good food love pollo pizza wait little long,2 years ago,positive
Harsh Sachdev,5.0,outstanding pizza good service need tie delivery chain home delivery,4 years ago,positive
Kr. Raushan,5.0,nice place awesome food food service atmosphere food service atmosphere,7 months ago,positive
Priyanka Bose,5.0,amazing pizza sure good decor ambience expensive fancy posh place,4 years ago,positive
Sucharita Biswas,5.0,food quality good ambience great really expensive,2 years ago,positive
Nitesh Shaw,4.0,best pizza till date kolkata booze reasonable price say cheaper considering location ambience offer,4 years ago,positive
Shreedhar Nayik,5.0,lovely place snack enjoy friend,7 months ago,positive
Aarti Hirjee,5.0,great service large helping tasty food especially zuppa soup,2 years ago,positive
Abhilasha Kumbhar,5.0,nice place modern dining room food service atmosphere food service atmosphere,7 months ago,positive
Vidya Naik,2.0,ambience decent pizza topping pasta undercooked low quality food,4 years ago,negative
Manjunath c,5.0,nice food ambiance food service atmosphere food service atmosphere,7 months ago,positive
Asanka Saha,5.0,please try thin crust pizza amazing veg non veg worth,2 years ago,positive
Shubham battoo,3.0,food great ordered chicken pizza serve thin base interior good serve alcohol,4 years ago,positive
sohan singh Sandhu,5.0,excellent place lovely food excellent customer service staff behaviour excellent,a year ago,positive
Anshumaan Bagaria,4.0,amazing food good dining always maintain level since last decade,4 years ago,positive
Shahabaze Shaikh,5.0,quality ambiance good,7 months ago,positive
Sagnik Basak,5.0,good beer better food would visit soon,a year ago,positive
Cliff Spencer,5.0,really enjoyed food service excellent nice decor,4 years ago,positive
Zakir Ameen,5.0,great taste yummy pizza,7 months ago,positive
Swapnil Mishra,5.0,nice food food service atmosphere food service atmosphere,2 months ago,positive
Kirti S,3.0,great food amazing cheesy pizza time,4 years ago,positive
Milind Saraf,4.0,good food ambience pleasant time friend giggling highly recommended,5 years ago,positive
Deepak Raj,4.0,nice cozy place hangout friend,7 years ago,positive
Bikki Mahato,4.0,food quality good pizza nice usual queue good atmosphere,7 years ago,positive
varun gupta,5.0,nice ambience good food find staff couteous though,5 years ago,positive
Prateek Bothra,5.0,nice staff service amazing place pizza,2 years ago,positive
Richard Walker,3.0,good pizza nothing write home expensive rupee pizza clean decent service,12 years ago,positive
Ragini Ghosh,5.0,one favourite restaurant city,a year ago,neutral
Khurshed M,4.0,pepperoni pizza disappointing put little pepperoni instead frds vegetarian pizza nice decent place,4 years ago,negative
Gaurav Shinde,4.0,amazing place visit,7 months ago,positive
rachit kasera,5.0,great food ambience sundried tomato pizza always,2 years ago,positive
Sourodipta Guha,3.0,like coffee serve personal opinion,a year ago,positive
NIRMAL KHETAN,4.0,good location average food exceptional pricey,4 years ago,positive
Staffan Tolvgård,4.0,enjoyed place capricciosa potential tomato sauce needed salt flavor,6 years ago,positive
Biswajit Saha,4.0,great ful hotel best family food service atmosphere food service atmosphere,8 months ago,positive
sudha kerketta,5.0,awesome,3 months ago,positive
Pritam Sadhukhan,5.0,good place authentic italian pizza kolkata food bit costly,7 years ago,positive
selvam G,5.0,fire ice pizzeria best place summer,7 months ago,positive
Dhanraj Mathri,5.0,good food service atmosphere food service atmosphere,4 days ago,positive
Samrat Putatunda,5.0,fabulous place authentic italian cuisine best,4 years ago,positive
Pranav Arora,5.0,best pizza get kolkata though expensive worth,2 years ago,positive
Tanmay Khandelwal,5.0,pizza awesome lively must make reservation otherwise long waiting especially weekend,7 years ago,positive
1990 walsh,5.0,pineapple pepperoni pizza absolutely mouth watering good tried much menu pizza unreal,6 years ago,positive
ADITI SINGH,4.0,pizza place part street front metro station serf good pizza service bit slow,4 years ago,positive
Namagiri Lakshmi G,5.0,food amazing food service atmosphere food service atmosphere,3 months ago,positive
Sneha Mukherjee,4.0,good ambience opera good hear mocktails specifically fire ice delight really great,5 years ago,positive
Sangita Shaw,5.0,best pizza city food service atmosphere food service atmosphere,4 months ago,positive
Rishikesh Pandit,5.0,pizza must made fire oven location rock hope understand,2 years ago,positive
Greg Herzberg,5.0,best pizza age quick friendly service,4 years ago,positive
Soma Gupta,5.0,good service pizza pasta superb,4 years ago,positive
Reena Aney,5.0,good experience food service atmosphere food service atmosphere,4 months ago,positive
Sramana Dutta,5.0,excellent food ambience great place hangout friend family,5 years ago,positive
Willem Van Rossum,5.0,nice cosy place well decorated enjoyed meal,4 years ago,positive
Madhurima Dutta,5.0,good food service atmosphere food service atmosphere,10 months ago,positive
B India,5.0,super delicious food good service humble staff,4 years ago,positive
abdul arif Azad,5.0,good delicious pizza food service atmosphere food service atmosphere,5 months ago,positive
Abinay Gutta,5.0,superb food mostly pizza thing could much appreciable vallet parking parking spot find difficult,6 years ago,positive
Ashwini Shankar,5.0,really good place food service atmosphere food service atmosphere,2 months ago,positive
Damodar Alfageme,3.0,food quite authentic priced fairly kolkata,a year ago,neutral
Nitesh Rathi,4.0,nice place nice food,2 years ago,positive
Niladri Sarkar,5.0,food ambience excellent particularly frame hollywood artist,a year ago,positive
Anurag Chatterjee,5.0,great place food service atmosphere food service atmosphere,10 months ago,positive
Ram Natarajan,5.0,amazing italian food good variety drink staff also friendly prompt,6 years ago,positive
Rajarshi Ghosh,5.0,pizza well made tasted good additional flavouring olive oil,6 years ago,positive
Sundeep Saraf,5.0,food always excellent far best kolkata,a year ago,positive
Keshav Kedia,3.0,quality food inconsistent favorite pizzeria newer place like cafe mezzuna serve better food half price,6 years ago,positive
pankaj kushwaha,5.0,awesome taste best service food service atmosphere food service atmosphere,7 months ago,positive
SUSHANT INDALKAR,5.0,good place foodie food service atmosphere food service atmosphere,7 months ago,positive
Saleem Shaik,3.0,good place hang,7 months ago,positive
Soumik Ghosh,1.0,rude behaviour staff specially entry desk big fail,a year ago,negative
J.J.R. India,5.0,excellent food professional staff real european taste,5 years ago,positive
A No Grainer,4.0,pleasant food ambience quite expensive worth looking somewhere classy splurge,7 years ago,positive
Ganesh Patil,5.0,nice place visit must go,7 months ago,positive
Divya Naidu,2.0,great pizza cocktail,7 months ago,positive
Saurabh Beriwala,5.0,expensive great authentic lovely italian cuisine awesome atmosphere ambiance,12 years ago,positive
Michael Rasmussen,4.0,scratch pizza itch need best recommend,5 years ago,positive
Sandipan Saha,3.0,expensive,a year ago,neutral
Arun Sah,4.0,good atmosphere chill,7 months ago,positive
Suvendra Mukherjee,5.0,authentic italian food joint kolkata serving finger licking stuff,4 years ago,neutral
Fahed Sheikh,4.0,authentic italian cuisine worth visiting love proper italian,2 years ago,positive
Tanmoy Roy,3.0,food taste mark average respect value,3 years ago,positive
Abhinav Chaturvedi,3.0,big pizza place costly service good,5 years ago,positive
Kanodia Minerals & Chemical CO.,3.0,air conditioning poor must enclose cooking side glass avoid cooking smell etc,4 years ago,negative
Deepak Gutgutia,5.0,great ambiance friendly attentive staff,a year ago,positive
Vishal Jalan,5.0,authentic italian restaurant town everything menu perfect,5 years ago,positive
Umang Panchal,2.0,burn hole pocket expensive simply charging place situated,6 years ago,neutral
Avishek Chauhan,4.0,love place staff n ambiance professional n good,4 years ago,positive
Rajat Kothary,3.0,dish little blandish taste reengineer menu,4 years ago,neutral
Pramita Dutta,5.0,loved ambiance,4 years ago,positive
surbhika S,4.0,good option authentic italian food wid great ambience,4 years ago,positive
Suraj Gautam,5.0,nice visit,4 months ago,positive
Anil Kumar Rai,5.0,nice dining destination,4 months ago,positive
Soma Bhattacharjee,5.0,quality portion size amazing food service atmosphere food service atmosphere,11 months ago,positive
kanmani karthika,3.0,awesome place delicious,7 months ago,positive
shivakrishna krishna,5.0,nice food best service food service atmosphere food service atmosphere,7 months ago,positive
Dr.Indranil Banerjee,5.0,wowsome food felt like eating food navigli milan italy,2 years ago,positive
Subrata Das,4.0,nice place time visit care good italian food,5 years ago,positive
Ayesha Rehan,5.0,good food nice ambience courteous helpful staff,4 years ago,positive
Indra Banerjee,4.0,decent place price bit higher side still nice place,6 years ago,positive
Ratul Mukherjee,5.0,like good food great drink good ambience,5 years ago,positive
manoj kumar,4.0,super place food hangout food service atmosphere food service atmosphere,7 months ago,positive
Vikas Murarka,4.0,always pleasure visiting f one best place town italian food,6 years ago,positive
Rachit Murarka,5.0,amazing food nice decor friendly staff,4 years ago,positive
subhas maurya,4.0,nice obe,7 months ago,positive
Anshu,5.0,simply amazing italian food awesome food,a year ago,positive
Anish Goyal,3.0,upto expectation decent food worth price,2 years ago,positive
